œÀ¿—“,”—“‹≈_X,”—“‹≈_Y,œÀ¿—“_X,œÀ¿—“_Y,¿Î¸ÚËÚÛ‰‡,well_hash
93b03192e539de336932ea455adc9ec6,3557804.7503312575,15322901.646204902,12426398.943049138,37809371.96139566,50.97,53514b4c4150ad897d82dd7d42cfc1a5
ac48576d40a88015267d1d2b4e2c134c,3557804.7503312575,15322901.646204902,12426398.943049138,37809371.96139566,50.97,53514b4c4150ad897d82dd7d42cfc1a5
b77e6ff069ae1e32a78d687b59ac7703,3557804.7503312575,15322901.646204902,12426398.943049138,37809371.96139566,50.97,53514b4c4150ad897d82dd7d42cfc1a5
ac48576d40a88015267d1d2b4e2c134c,3561734.5330016566,15322711.79333209,12433255.314392412,37812792.74895293,47.41,fe017a547ac58cc7366a60cc6bcd3915
93b03192e539de336932ea455adc9ec6,3562573.046541454,15321464.488296287,12434235.37806831,37810818.356632456,52.23,8f3131afe66d3266c23142786786b265
b77e6ff069ae1e32a78d687b59ac7703,3562573.046541454,15321464.488296287,12434235.37806831,37810818.356632456,52.23,8f3131afe66d3266c23142786786b265
ac48576d40a88015267d1d2b4e2c134c,3557829.742522522,15322693.14734844,12426359.59826242,37808929.198533066,50.97,cda627efd1549ecb72fa7931685d5aa3
93b03192e539de336932ea455adc9ec6,3557834.0918429564,15322661.5181586,12426354.614043025,37808862.57774177,50.97,3a64ba1b382ffeb0c514a4a569acff44
ac48576d40a88015267d1d2b4e2c134c,3557834.0918429564,15322661.5181586,12426354.614043025,37808862.57774177,50.97,3a64ba1b382ffeb0c514a4a569acff44
b77e6ff069ae1e32a78d687b59ac7703,3557834.0918429564,15322661.5181586,12426354.614043025,37808862.57774177,50.97,3a64ba1b382ffeb0c514a4a569acff44
93b03192e539de336932ea455adc9ec6,3561754.9205606417,15323534.388339365,12433620.446435396,37814656.050588794,50.42,d147dc766cf90a35a2db9d26a82746aa
b77e6ff069ae1e32a78d687b59ac7703,3561754.9205606417,15323534.388339365,12433620.446435396,37814656.050588794,50.42,d147dc766cf90a35a2db9d26a82746aa
ac48576d40a88015267d1d2b4e2c134c,3557836.1313351495,15322645.547814207,12426351.821165586,37808828.78603411,50.97,db9947ee0fbc7f53447ab68bca6af0a1
93b03192e539de336932ea455adc9ec6,3561741.3868048545,15323008.438059982,12433386.109386215,37813464.20618376,50.42,04d7884a9f7019671285b87ca468d0f1
ac48576d40a88015267d1d2b4e2c134c,3561741.3868048545,15323008.438059982,12433386.109386215,37813464.20618376,50.42,04d7884a9f7019671285b87ca468d0f1
b77e6ff069ae1e32a78d687b59ac7703,3561741.3868048545,15323008.438059982,12433386.109386215,37813464.20618376,50.42,04d7884a9f7019671285b87ca468d0f1
b77e6ff069ae1e32a78d687b59ac7703,3561756.567601953,15323588.98408329,12433645.198782966,37814780.00584196,50.42,820cd70e741321f99e67a46ef97a9a32
93b03192e539de336932ea455adc9ec6,3561754.4309402867,15323514.743547404,12433611.721714353,37814611.54949806,50.42,7a959be39973208db7ae26ddea82fb8a
