Скважина,Давление пластовое,Тип испытания
0b0688c9273d26bdd4870035682648cf,240.0,среднее качество
0b0688c9273d26bdd4870035682648cf,130.0,среднее качество
046568c4bd1c6343c5f932ef6a21b112,340.0,низкое качество
3a36efb8cb6fe16ed8f67ab3f1c55254,165.0,среднее качество
0b0688c9273d26bdd4870035682648cf,163.0,низкое качество
a38049275cf8e4026f9e1a9d4f0951fd,77.0,низкое качество
046568c4bd1c6343c5f932ef6a21b112,375.0,среднее качество
46171066a30a051265d496e712652f72,105.0,среднее качество
46171066a30a051265d496e712652f72,166.0,среднее качество
220ed0a1cd9f15ba3053f16405bb581d,100.0,среднее качество
220ed0a1cd9f15ba3053f16405bb581d,150.0,среднее качество
a2d46cb2c0cce62767b4cd7dacc28d1e,345.3,среднее качество
a2d46cb2c0cce62767b4cd7dacc28d1e,391.0,среднее качество
b9e16cfb6864c2997566cc01a44d7e72,224.0,среднее качество
749bec5329ae4975b962a3b76c021abc,187.0,среднее качество
699fe16640ad6f66d37d491a38bf4623,87.7,среднее качество
699fe16640ad6f66d37d491a38bf4623,227.0,высокое качество
699fe16640ad6f66d37d491a38bf4623,192.0,среднее качество
8624e651d8181e8464edc668a29973f8,155.0,среднее качество
8624e651d8181e8464edc668a29973f8,150.0,среднее качество
d147dc766cf90a35a2db9d26a82746aa,108.0,среднее качество
139f7e08e0ee1482519ba728cbc592a1,235.0,низкое качество
139f7e08e0ee1482519ba728cbc592a1,170.0,низкое качество
139f7e08e0ee1482519ba728cbc592a1,157.0,среднее качество
5802df19871a6aed48dc19bf9ce69046,0.0,среднее качество
5802df19871a6aed48dc19bf9ce69046,0.0,среднее качество
eed5d3a5a07be904e34fcd8c899364e2,127.0,среднее качество
eed5d3a5a07be904e34fcd8c899364e2,184.7,среднее качество
6e853fc88aa5151c789e390a5d501499,150.0,среднее качество
3b33b93f93c2dd4cccadeaf9ddd9d671,115.0,среднее качество
93975028fa56d84f53887b672cc1256b,0.0,среднее качество
93975028fa56d84f53887b672cc1256b,101.0,среднее качество
93975028fa56d84f53887b672cc1256b,114.0,низкое качество
93975028fa56d84f53887b672cc1256b,72.0,среднее качество
93975028fa56d84f53887b672cc1256b,122.0,среднее качество
2f70ab72a25df7d2c2c4c12eabac53b2,186.0,среднее качество
2f70ab72a25df7d2c2c4c12eabac53b2,130.0,среднее качество
36ccb5a141baca1eac83e3fd5b2e4006,190.0,низкое качество
36ccb5a141baca1eac83e3fd5b2e4006,345.0,среднее качество
188a5a76c14551bbe9dfeeb39f78267d,230.0,высокое качество
820cd70e741321f99e67a46ef97a9a32,231.0,низкое качество
4e29304383706ddf0bce27b8017c0b47,249.7,среднее качество
188a5a76c14551bbe9dfeeb39f78267d,234.1,высокое качество
188a5a76c14551bbe9dfeeb39f78267d,232.0,высокое качество
cb390f02ebff7e11c39217e334ff4ba4,197.2,среднее качество
cb390f02ebff7e11c39217e334ff4ba4,0.0,среднее качество
3b33b93f93c2dd4cccadeaf9ddd9d671,170.0,среднее качество
55f2b20ebe954493b876a5b2e6bc10bd,191.0,высокое качество
55f2b20ebe954493b876a5b2e6bc10bd,191.0,среднее качество
55f2b20ebe954493b876a5b2e6bc10bd,124.0,среднее качество
55f2b20ebe954493b876a5b2e6bc10bd,170.0,среднее качество
b9e16cfb6864c2997566cc01a44d7e72,130.0,среднее качество
9d9c447a3f4544b56c9589367168e335,95.0,среднее качество
9d9c447a3f4544b56c9589367168e335,380.0,высокое качество
38d49cedfcd1f024e56824b9a285b7e9,120.0,среднее качество
8d2f1071fd97ab3f403e8ce847f4d43c,145.0,низкое качество
8d2f1071fd97ab3f403e8ce847f4d43c,253.0,низкое качество
8d2f1071fd97ab3f403e8ce847f4d43c,0.0,низкое качество
38d49cedfcd1f024e56824b9a285b7e9,135.0,среднее качество
8d2f1071fd97ab3f403e8ce847f4d43c,230.3,среднее качество
8d2f1071fd97ab3f403e8ce847f4d43c,203.0,среднее качество
6feafe3b26a5897dfcc35d6cac079918,140.0,среднее качество
388ce77c9326a8ca9bf81af1793dd10f,145.0,среднее качество
e4065cec4c7309bf698e9bb35e7410d5,416.0,среднее качество
80e7e02703c102858eabdc9fe3b9bd17,232.6,низкое качество
80e7e02703c102858eabdc9fe3b9bd17,0.0,среднее качество
80e7e02703c102858eabdc9fe3b9bd17,181.0,среднее качество
ad448f651f077f51f1975bf54aa6e619,236.0,среднее качество
9d51046a3937bb92f09e7b051a3f8d72,237.0,высокое качество
9d51046a3937bb92f09e7b051a3f8d72,241.0,низкое качество
8d2f1071fd97ab3f403e8ce847f4d43c,361.0,высокое качество
8d2f1071fd97ab3f403e8ce847f4d43c,366.0,высокое качество
d792a2c1d8d26880a4a8f5f294e03045,235.0,среднее качество
aa645f9f54a60c38ee5b16458b7e7cf2,243.0,высокое качество
aa645f9f54a60c38ee5b16458b7e7cf2,243.2,среднее качество
93fe6fe98c9e803d3e734ecc836d700c,180.0,среднее качество
b9e16cfb6864c2997566cc01a44d7e72,115.0,среднее качество
8691aa2a0555c8ecf7a7dc5cb59da057,223.0,низкое качество
93fe6fe98c9e803d3e734ecc836d700c,110.0,низкое качество
84bb8989077a42475e6eda737c24b084,135.0,среднее качество
84bb8989077a42475e6eda737c24b084,115.0,среднее качество
84bb8989077a42475e6eda737c24b084,0.0,низкое качество
ce2fccc335c8beb19a29ac729f441211,385.0,среднее качество
17fef7979c2165e83ffe13fa77fb4b2d,261.0,среднее качество
c57ab4d735d4d664cde2e65923f7a444,242.6,среднее качество
aa645f9f54a60c38ee5b16458b7e7cf2,174.3,среднее качество
