Скважина;Дата;ГТМ;Метод;Характер работы;Состояние;Время работы, ч;Время накопления;Нефть, т;Попутный газ, м3;Закачка, м3;Природный газ, м3;Газ из газовой шапки, м3;Конденсат, т;Простой, ч;Причина простоя;Приемистость, м3/сут;Обводненность (вес), %;Агент закачки;Нефть, м3;Жидкость, м3;Дебит конденсата;Добыча растворенного газа, м3;Дебит попутного газа, м3/сут;Пласт МЭР;Куст;Тип скважины;Диаметр экспл.колонны;Диаметр НКТ;Диаметр штуцера;Глубина верхних дыр перфорации;Удлинение;Способ эксплуатации;Тип насоса;Производительность ЭЦН;Напор;Частота;Коэффициент сепарации;Глубина спуска;Буферное давление;Давление в линии;Пластовое давление;Динамическая высота;Затрубное давление;Давление на приеме;Забойное давление;Дебит жидкости;Обводненность;Состояние на конец месяца;Давление наcыщения;Газовый фактор;Температура пласта;SKIN;JD факт;Дата ГРП;Фирма ГРП;Вязкость нефти в пластовых условиях;Вязкость воды в пластовых условиях;Вязкость жидкости в пласт. условиях;объемный коэффициент;Плотность нефти;Плотность воды;Высота перфорации;Удельный коэффициент;Коэффициент продуктивности;ТП - Забойное давление;ТП(ИДН) Дебит жидкости;ТП(ИДН) Дебит жидкости скорр-ый;ТП - JD опт.;ТП - SKIN;К пр от стимуляции;ТП(ГРП) Дебит жидкости;ТП(ГРП) Дебит жидкости скорр-ый;Глубина спуска.1;КВЧ;Время до псевдоуст-ся режима;Причина простоя.1;Примечание;Дата запуска после КРС;Дата пуска;Дата останова;Радиус контура питания;Мероприятия;Номер бригады;Фонтан через насос;Нерентабельная;Неустановившийся режим;Дата ввода в эксплуатацию;Назначение по проекту;Замерное забойное давление;Группа фонда;Нефтенасыщенная толщина;Плотность раствора глушения;Глубина текущего забоя;Тип дополнительного оборудования;Диаметр дополнительного оборудования;Глубина спуска доп. оборудования;Тип газосепаратора;Марка ПЭД;Мощность ПЭД;I X/X;Ток номинальный;Ток рабочий;Число качаний ШГН;Длина хода плунжера ШГН;Диаметр плунжера;Станок-качалка;Коэффициент подачи насоса;Тип ГЗУ;ДНС;КНС;КН закрепленный;Пластовое давление начальное;Характеристический дебит жидкости;Время в работе;Время в накоплении;ГП - Забойное давление;ГП(ИДН) Дебит жидкости;ГП(ИДН) Дебит жидкости скорр-ый;ГП(ИДН) Прирост дефита нефти;ГП(ГРП) Дебит жидкости;ГП(ГРП) Дебит жидкости скорр-ый;ГП - Общий прирост Qн
53514b4c4150ad897d82dd7d42cfc1a5;30.03.2012;0.0;ЭЦН/ФОН;НЕФ;РАБ.;301.0;0.0;278.55;10028.0;0.0;0.0;0.0;0;0.0;;0;69.7;;320.17;941.67;0;10027.62;799.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53514b4c4150ad897d82dd7d42cfc1a5;30.04.2012;0.0;ЭЦН;НЕФ;РАБ.;720.0;0.0;1074.74;38690.0;0.0;0.0;0.0;0;0.0;;0;38.2;;1235.33;1880;0;38690.5;1289.68;АС10;19;Наклонно-направленно;146.8;67.4;0.0;2387.0;34.84;ЭЦН;ВНН5-59-2450;60.0;2460.0;45.0;0.7;2311.0;26.0;25.0;190.0;1720.0;16.июнь;66.0;72.773373753411;76.0;66.0;В работе;80.9;36.0;87.0;0.0;0.141289807627567;;;янв.67;0.5;1.66779850597212;01.дек;0.87;01.март;13.0;12.138039082360196;0.6489998216651421;40.0;94.32605615995159;94.32605615995159;0.5328064987783889;-5.19719202673113;2.4461437268582795;355.524120119092;355.524120119092;0.0;82.0;17.4426364023932;;;42143.4444444444;42143.4444444444;42118.0;250.0;Ввод новой;0.0;нет;нет;нет;42135.0;Нефтяные;0.0;Действующий;6.0;0.848156587987212;2458.0;;0.0;0.0;;ПЭД45-117В5;100.0;14.0;38.5;211.0;0.0;0.0;0.0;;0.0;();ДНС-1;КНС-1;0.0;231.0;847.308442842446;0.0;0.0;35.0;96.49325140949672;96.49325140949672;6.06190376692914;363.69249072195396;363.69249072195396;85.0994387555539
53514b4c4150ad897d82dd7d42cfc1a5;30.05.2012;0.0;ЭЦН;НЕФ;РАБ.;744.0;0.0;1046.8;37685.0;0.0;0.0;0.0;0;0.0;;0;35.1;;1203.22;1753;0;37684.91;1215.64;АС10;19;Наклонно-направленно;146.8;67.4;0.0;2387.0;34.84;ЭЦН;ВНН5-59-2450;60.0;2460.0;55.0;0.7;2311.0;27.0;26.0;190.0;2164.0;27.февр;39.0;45.45156461328239;63.0;36.0;В работе;80.9;36.0;87.0;0.0;0.136382993824908;;;янв.67;0.5;1.6687984651051202;01.дек;0.87;01.март;13.0;8.45861552466757;0.451996445875633;40.0;64.5978108787821;64.5978108787821;0.5871196408680961;-5.370815646221533;1.87728197034192;268.294821326232;268.294821326232;0.0;64.0;25.045037450665802;;;42143.4444444444;42143.4444444444;42118.0;250.0;;0.0;нет;нет;нет;42135.0;Нефтяные;48.0;Действующий;6.0;0.848156587987212;2458.0;;0.0;0.0;;ПЭД45-117В5;100.0;14.0;38.5;211.0;0.0;0.0;0.0;;0.0;();ДНС-1;КНС-1;0.0;231.0;590.462454452354;0.0;0.0;36.0;65.6651581996136;65.6651581996136;1.4839600855448798;272.72784707183996;272.72784707183996;116.7764652496
53514b4c4150ad897d82dd7d42cfc1a5;30.06.2012;0.0;ЭЦН;НЕФ;РАБ.;744.0;0.0;900.95;32434.0;0.0;0.0;0.0;0;0.0;;0;32.1;;1035.57;1450;0;32434.09;1046.26;АС10;19;Наклонно-направленно;146.8;67.4;0.0;2387.0;34.84;ЭЦН;ВНН5-59-2450;60.0;2460.0;56.0;0.7;2311.0;26.май;25.апр;153.9;2255.0;27.март;32.0;38.4101044834459;53.0;30.0;В работе;80.9;36.0;87.0;0.0;0.13148329172216802;;;янв.67;0.5;1.6689986008395001;01.дек;0.87;01.март;13.0;9.23944201786856;0.49366165880720203;38.4101044834459;53.0005045921599;53.0005045921599;0.572985500898184;-5.32880115137477;2.00097153658728;214.828312512505;214.828312512505;0.0;64.0;22.9312277195588;;;42143.4444444444;42143.4444444444;42118.0;250.0;;0.0;нет;нет;нет;42135.0;Нефтяные;48.0;Действующий;6.0;0.6870068362696421;2458.0;;0.0;0.0;;ПЭД45-117В5;100.0;14.0;38.5;211.0;0.0;0.0;0.0;;0.0;();ДНС-1;КНС-1;0.0;231.0;644.968859942986;0.0;0.0;35.4;53.8386482491881;53.8386482491881;0.5107367837555851;218.225581819052;218.225581819052;100.622379327803
53514b4c4150ad897d82dd7d42cfc1a5;31.07.2012;0.0;ЭЦН;НЕФ;РАБ.;720.0;0.0;761.72;27422.0;0.0;0.0;0.0;0;0.0;;0;34.2;;875.54;1260;0;27421.92;914.06;АС10;19;Наклонно-направленно;146.8;67.4;0.0;2387.0;34.84;ЭЦН;ВНН5-59-2450;60.0;2460.0;56.0;0.7;2311.0;28.май;27.июнь;153.9;2230.0;28.апр;35.0;41.344787130140006;47.0;25.0;В работе;80.9;36.0;87.0;0.0;0.13231200429558;;;янв.67;0.5;1.6691654172913502;01.дек;0.87;01.март;13.0;8.35527662513608;0.4463762519362261;40.0;47.3622122539315;47.3622122539315;0.589133411208763;-5.376637612394839;1.8602984097478201;197.38471246161998;197.38471246161998;0.0;64.0;25.3603722541683;;;42143.4444444444;42143.4444444444;42118.0;250.0;;0.0;нет;нет;нет;42135.0;Нефтяные;41.0;Действующий;6.0;0.6870068362696421;2458.0;;0.0;0.0;;ПЭД45-117В5;100.0;14.0;38.5;211.0;0.0;0.0;0.0;;0.0;();ДНС-1;КНС-1;0.0;231.0;583.2487750884179;0.0;0.0;37.6;47.9817368233338;47.9817368233338;0.640583277225278;199.966616329175;199.966616329175;99.81071715478642
53514b4c4150ad897d82dd7d42cfc1a5;30.08.2012;0.0;ЭЦН;НЕФ;РАБ.;744.0;0.0;651.91;23469.0;0.0;0.0;0.0;0;0.0;;0;38.5;;749.32;1145;0;23468.65;757.05;АС10;19;Наклонно-направленно;146.8;67.4;0.0;2387.0;34.84;ЭЦН;ВНН5-59-2450;60.0;2460.0;56.5;0.7;2311.0;27.0;26.0;153.9;2198.0;30.0;35.0;41.3889091772692;42.0;29.0;В работе;80.9;36.0;87.0;0.0;0.132634229657823;;;янв.67;0.5;1.66903196146235;01.дек;0.87;01.март;13.0;7.450603429716389;0.3980763907258541;40.0;42.33730768577;42.33730768577;0.608461782285469;-5.43055741532962;1.71343489178754;182.23190800356002;182.23190800356002;0.0;64.0;28.4374260274056;;;42143.4444444444;42143.4444444444;42118.0;250.0;;0.0;нет;нет;нет;42135.0;Нефтяные;41.0;Действующий;6.0;0.6870068362696421;2458.0;;0.0;0.0;;ПЭД45-117В5;100.0;14.0;38.5;211.0;0.0;0.0;0.0;;0.0;();ДНС-1;КНС-1;0.0;231.0;520.097121737231;0.0;0.0;36.0;43.254470144916105;43.254470144916105;0.7748862085146908;186.179638126598;186.179638126598;89.0597624707997
fe017a547ac58cc7366a60cc6bcd3915;31.08.2013;;;;;;;;;;;;;;;;;;;;;;;АС10;10R;Наклонно-направленно;146.8;73.0;0.0;2837.0;508.86;ЭЦН;ВНН5-59-2350;59.0;2350.0;50.0;0.7;2728.04;16.янв;15.янв;184.0;2709.0;16.июнь;19.0;28.9069658763492;19.61;75.0;Остановлена;80.9;36.0;87.0;0.0;0.134306516355875;40541.0;;янв.67;0.5;1.66749875187219;01.дек;0.87;01.март;21.0;1.5413676890581998;0.13315463920037598;28.9069658763492;19.6103689428788;19.6103689428788;0.9523600080096379;-6.0240229191790995;0.897067932818381;132.115810872509;132.115810872509;2728.0;96.0;164.800145824144;Зaбуривaние второго стволa;;41415.0833333333;41415.0840277778;42607.0840277778;250.0;;2.0;нет;нет;нет;40544.0;Нефтяные;0.0;Действующий;8.0;0.8298470023280391;2881.0;;0.0;0.0;;Пэд-45-117;63.0;11.0;25.0;нояб.43;0.0;0.0;0.0;;0.0;Массомер ();ДНС-1;;0.0;231.0;173.81017451792;0.0;0.0;25.янв;19.7994520336178;19.7994520336178;0.0412058173118765;133.389670937459;133.389670937459;24.7470784288973
fe017a547ac58cc7366a60cc6bcd3915;01.10.2013;;;;;;;;;;;;;;;;;;;;;;;АС10;10R;Наклонно-направленно;146.8;67.1;0.0;2837.0;508.86;ЭЦН;ВНН-100-2350;100.0;2350.0;48.0;0.7;2200.0;16.авг;14.июнь;184.0;1856.0;16.июнь;50.0;100.057516946152;109.0;71.0;В работе;80.9;36.0;87.0;-4.7;0.4214507527172921;42648.7881944444;;янв.67;0.5;1.66763196261309;01.дек;0.87;01.март;21.0;5.0448769675078085;1.29850816933873;73.1223022460938;143.842228367964;143.842228367964;0.6819932176980749;-5.60775576918015;2.10239286320218;232.89254660747292;232.89254660747292;2200.0;100.0;50.35562099049971;;;42655.6319444444;42655.6319444444;42607.0840277778;250.0;;2.0;нет;нет;нет;40544.0;Нефтяные;0.0;Действующий;8.0;0.8298470023280391;2881.0;;0.0;0.0;;ПЭД63-117В5;250.0;17.авг;49.0;0.0;0.0;0.0;0.0;;0.0;Массомер ();ДНС-1;;0.0;231.0;568.8785046997709;0.0;0.0;24.июнь;192.617527207538;192.617527207538;21.096702114461802;311.863817333552;311.863817333552;51.1825411132553
fe017a547ac58cc7366a60cc6bcd3915;31.10.2013;;;;;;;;;;;;;;;;;;;;;;;АС10;10R;Наклонно-направленно;146.8;67.1;0.0;2837.0;508.86;ЭЦН;ВНН-100-2350;100.0;2350.0;50.5;0.7;2199.99;27.0;15.май;198.0;1881.0;17.апр;29.0;75.6794286562691;97.0;32.0;В работе;80.9;36.0;87.0;-4.7;0.421099951350993;42648.7881944444;;янв.67;0.5;1.6689318835945002;01.дек;0.87;01.март;21.0;3.08587386347359;0.7936588728851619;68.7063140869141;102.154262216224;102.154262216224;0.791171895155277;-5.81009818090495;1.4907123826671398;191.874152523947;191.874152523947;2199.99;52.0;82.387014701403;;;42655.6319444444;42655.6319444444;42607.0840277778;250.0;;2.0;нет;нет;нет;40544.0;Нефтяные;0.0;Действующий;8.0;0.892987535113868;2881.0;;0.0;0.0;;ПЭД63-117В5;250.0;17.авг;49.0;22.0;0.0;0.0;0.0;;0.0;Массомер ();ДНС-1;;0.0;231.0;347.974255953397;0.0;0.0;25.май;125.434715785589;125.434715785589;16.8219778587547;235.601327505057;235.601327505057;81.9965453519916
fe017a547ac58cc7366a60cc6bcd3915;01.12.2013;;;;;;;;;;;;;;;;;;;;;;;АС10;10R;Наклонно-направленно;146.8;67.1;0.0;2837.0;508.86;ЭЦН;ВНН-100-2350;100.0;2350.0;46.7;0.7;2199.99;16.июль;15.июль;198.0;2056.0;17.февр;27.0;73.8089269740165;80.0;33.0;В работе;80.9;36.0;87.0;-4.7;0.420822659457189;42648.7881944444;;янв.67;0.5;1.6688985269721999;01.дек;0.87;01.март;21.0;2.50831998662255;0.6451301287863461;69.32556457519529;82.67954031009829;82.67954031009829;0.8412686404328009;-5.88536506883813;1.28846064119452;165.128442725232;165.128442725232;2199.99;80.0;101.355032590555;;;42655.6319444444;42655.6319444444;42607.0840277778;250.0;;2.0;нет;нет;нет;40544.0;Нефтяные;76.0;Действующий;8.0;0.892987535113868;3143.0;;0.0;0.0;;ПЭД63-117В5;250.0;17.авг;49.0;22.0;0.0;0.0;0.0;;0.0;Массомер ();ДНС-1;;0.0;231.0;282.847199741185;0.0;0.0;25.июль;101.963632492407;101.963632492407;12.8026013798242;203.642833340991;203.642833340991;72.07140755446359
