idw,PRON_mode,PRON_min__gtPM,PRON_max__gtPM,PRON_mean__gtPM,PRON_median__gtPM,PRON_std__gtPM,PRON_quan80_gtPM,PRON_quan90_gtPM,KGL_min__gtPM,KGL_max__gtPM,KGL_mean__gtPM,KGL_median__gtPM,KGL_std__gtPM,KGL_quan80_gtPM,KGL_quan90_gtPM,KPO_min__gtPM,KPO_max__gtPM,KPO_mean__gtPM,KPO_median__gtPM,KPO_std__gtPM,KPO_quan80_gtPM,KPO_quan90_gtPM,KGL_min__lePM,KGL_max__lePM,KGL_mean__lePM,KGL_median__lePM,KGL_std__lePM,KGL_quan80_lePM,KGL_quan90_lePM,KPO_min__lePM,KPO_max__lePM,KPO_mean__lePM,KPO_median__lePM,KPO_std__lePM,KPO_quan80_lePM,KPO_quan90_lePM,DEPT_min_,DEPT_max_,DEPT_min__gtPM,DEPT_max__gtPM,DEPT_min__lePM,DEPT_max__lePM,DEPT_min__PRON_median__gtPM,DEPT_max__PRON_median__gtPM,DEPT_delta_PRON_median__gtPM,DEPT_sum_h_PRON_median__gtPM,DEPT_min__PRON_quan80_gtPM,DEPT_max__PRON_quan80_gtPM,DEPT_delta_PRON_quan80_gtPM,DEPT_sum_h_PRON_quan80_gtPM,DEPT_min__PRON_quan90_gtPM,DEPT_max__PRON_quan90_gtPM,DEPT_delta_PRON_quan90_gtPM,DEPT_sum_h_PRON_quan90_gtPM
02384c4d1324238fb99fcf66c88fbdad,0.1,0.127,15.149,2.587593908629442,1.945,2.682166269169924,3.5197000000000003,4.946200000000001,7.984,20.5615,12.95768527918782,12.555,2.460888607745416,15.040000000000001,16.317,10.863,20.547,15.985208121827412,16.331,1.9697690154740108,17.4345,18.18,7.954,24.459,17.185208695652175,17.92575,4.083442644875178,20.757,22.02765,6.0,19.405,10.817915217391304,10.659749999999999,3.1022143127681945,13.3278,14.806799999999997,8.8,2716.1,2589.1,2631.5,2589.0,2631.6,2590.5,2631.3,40.80000000000018,99.0,2590.6,2630.4,39.80000000000018,40.0,2611.7,2630.3,18.600000000000364,20.0
005642f48d3e86d871bb701bac2ba042,0.1,0.112,121.6,5.9897478260869566,2.6275000000000004,13.163024536859478,5.428600000000003,11.736749999999995,7.73,17.9605,11.649715217391304,11.51175,2.3347911706330633,13.4773,14.63485,8.6715,23.728,15.83871304347826,15.814499999999999,2.8689509856230946,18.4252,19.3999,7.405,24.765,19.687845694603904,20.0,3.314537624249379,22.648000000000003,23.577199999999998,0.998,18.618,9.909918714121698,9.8535,2.1611668028793827,11.753999999999998,12.74,1.2,3139.0,2584.5,3042.7,2584.4,3042.8,2586.3,3042.1,455.7999999999997,115.0,2614.2,2847.4,233.20000000000027,46.0,2807.7,2847.2,39.5,23.0
02bd0350b7f0cef7af7ca50801d89810,0.1,0.1155,5.727,0.9382128712871287,0.77625,0.7801399389214861,1.1549,1.5049,7.272,20.724,12.651867574257425,12.6075,2.2923864098408204,14.321000000000002,15.15445,8.8495,20.934,15.846647277227722,16.161749999999998,1.897839572617262,17.2452,17.943849999999998,5.383,23.879,20.23687556008147,21.045,3.1668878397797333,22.64,23.288600000000002,6.0,18.996,11.449397963340122,11.813,2.2766487375529034,13.177299999999999,13.9054,9.1,3609.6,3404.1,3562.7,3302.2,3588.0,3404.5,3558.7,154.19999999999982,202.0,3404.6,3558.6,154.0,81.0,3407.8,3558.6,150.79999999999973,41.0
02dba139f57f4aa50c3fbf56f586551f,0.101,0.14,23.18,3.0331888111888117,1.97375,3.6267513600167223,3.941,6.6232500000000005,7.797,21.177,11.15687237762238,10.54275,2.6741690370876965,13.399,15.013,9.8635,20.718,16.811774475524473,17.30525,2.1983716367680457,18.731,19.134,7.809,24.747,21.587299189938175,22.3055,2.8002985702958623,23.66,24.201,4.0,18.606,8.975798763589854,8.85,1.9516979950186106,10.42,11.359,7.6,3252.6,2691.9,3189.1,2691.8,3189.4,2692.0,3187.7,495.6999999999998,143.0,2692.6,3180.9,488.3000000000002,58.0,2692.9,3097.7,404.7999999999997,29.0
031f7cf95ada8d6e49ad6bd96c886d9c,0.01,0.2065,17.32,4.628862453531599,3.818,3.700438380348556,7.5832,9.8092,7.817,17.963,11.060994423791822,10.8295,2.1623829941960313,13.105700000000002,13.9786,10.091,20.83,17.177124535315986,17.654,2.1503999303306167,19.0835,19.618199999999998,7.823,24.755,20.769360658640228,21.401,3.369131227260735,23.701900000000002,24.43685,5.17,18.54,9.593669971671387,9.39575,2.0228766077665825,11.133,12.049050000000001,2796.0,3348.0,2968.9,3277.9,2968.8,3278.0,3123.4,3277.4,154.0,135.0,3127.3,3270.6,143.29999999999973,54.0,3132.6,3270.2,137.5999999999999,27.0
038753062b1b3941bbce024a2af27e18,0.1,0.1265,28.251,4.501389937106918,2.791,4.8125847097785535,7.3104000000000005,9.9269,8.024,22.966,14.67651572327044,14.58375,3.1203622160533624,17.7001,18.9217,7.963,20.44,15.174619496855344,15.163499999999999,2.4348437868644783,17.324700000000004,18.0808,7.998,24.75,21.92726371308017,22.537,2.699312667548205,24.034,24.520200000000003,4.0,20.359,9.651644802454928,9.575,1.8327564482531804,10.8966,11.8078,32.0,3242.0,2852.1,3144.3,2852.0,3144.4,2852.4,3144.0,291.5999999999999,160.0,2852.8,3137.0,284.1999999999998,64.0,2906.9,3133.0,226.0999999999999,32.0
04154a658a396d1c18331ebf0330744f,0.1,0.1085,34.354,4.976841628959276,1.864,7.038685569104056,7.619,13.2295,7.952,21.3075,12.391352941176468,12.677,2.6218799687096386,14.3415,15.477,8.8905,22.276,16.49314479638009,16.123,2.72586874130942,19.1825,20.261,7.903,24.753,20.381234390363815,20.07975,2.8300894084268595,23.411300000000004,24.691,5.186,19.408,10.054695796460178,10.08625,2.53808848461126,12.367400000000002,13.4313,2480.0,3048.4,2512.5,2941.1,2512.4,2941.2,2515.1,2940.1,425.0,111.0,2814.3,2921.8,107.5,45.0,2814.4,2920.3,105.90000000000009,23.0
046568c4bd1c6343c5f932ef6a21b112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446.6,2720.0,2446.6,2720.0,2446.6,2720.0,,,,,,,,,,,,
047a7a651d481e1c43b691c9e7dc07c9,0.1,0.1005,48.457,4.9665851528384275,3.191,6.393446749111622,6.7486,10.479200000000011,7.881,21.1155,13.606596069868996,13.4545,2.797522708063977,16.1016,17.4236,4.0035,21.654,16.31976637554585,16.581,3.2493188181221972,19.357400000000002,19.804399999999998,7.85,24.751,22.018853277060575,22.99425,3.2773926590017215,24.305799999999998,24.616999999999997,4.001,17.099,9.01177358490566,9.086,2.2806692361686554,10.743200000000002,11.8427,0.6,2991.0,2689.7,2913.7,2689.6,2913.8,2692.1,2913.6,221.5,115.0,2693.7,2910.5,216.80000000000018,46.0,2696.0,2716.3,20.300000000000182,23.0
04d7884a9f7019671285b87ca468d0f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3197.8,3.8,3197.8,3.8,3197.8,,,,,,,,,,,,
